Gram panchayat,Village,Sample source,Sample tested date,Temperature, Colour, Odour, Taste, Turbidity, pH,TDS, Total Alkalinity, Chloride, Fluoride, Nitrate, Sulphate, Total Hardness, Iron,Conductivity,Portability
Atake,Aatake,", location : Location : Chavan vasti [ Source type : Deep Tubewell ] [ schemeId : 6313113, scheme name : Chavan vasti, Type : Handpump ]",45127,28,2,0,0,0.4,7.2,278,44,20,0.11,25.34,1.22,184,0.07,370,1
Atake,Aatake,", location : Location : near Bhairavnath Mandir [ Source type : Deep Tubewell ] [ schemeId : 6313109, scheme name : near Bhairavnath Mandir, Type : Handpump ]",45127,28,2,0,0,0.4,7.3,650,120,40,0.11,24.84,1.78,296,0.1,1082,1
Babarmachi,Babarmachi,"Source Type : Open Well, location : NEAR GAOTHAN",45187,34,0,0,0,0.6,7.2,494,34,33,0.12,0.12,0.9,186,0.06,772,1
Babarmachi,Babarmachi,", location : Location : Bajugade Patil vast [ Source type : Deep Tubewell ] [ schemeId : 6313126, scheme name : Bajugade Patil vast, Type : Handpump ]",45079,34,0,0,0,0.6,7.2,484,48,60,0.18,25.5,2,360,0.16,757,1
Babarmachi,Babarmachi,", location : Location : near gavtan [ Source type : Open Well ] [ schemeId : 465661, scheme name : Babarmachi, Type : Handpump ]",45079,34,2,0,0,0.5,7.1,377,48,62,0.12,9.76,1,216,0.11,590,1
Babarmachi,Babarmachi,"Source Type : Open Well, location : NEAR GAOTHAN",45184,34,0,0,0,0.5,7.1,377,34,33,0.001,0.12,0.9,211,0.06,590,1
Babarmachi Dicholi(n.v.),Dicholi,"Source Type : Open Well, location : NEAR GAOTHAN",45184,34,0,0,0,0.6,7.2,441,34,33,0.001,0.12,0.9,211,0.06,690,1
Bamanwadi,Bamanwadi,"Others, location : Vijay Desai Ghar Sarvjanik Nal",45190,26,0,0,0,0.5,7.3,160,34,33,0.11,0.12,0.9,211,0.06,256,1
Bamanwadi,Bamanwadi,"Others, location : Zp school Tank",45189,26,0,0,0,0.5,7.4,160,34,40,0.001,0.12,0.9,296,0.06,368,1
Bamanwadi,Bamanwadi,"Others, location : Shiralkar house Tap Connection",45189,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,154,1
Bamanwadi,Bamanwadi,"PrivateTube well / Bore well / Well, location : khadyachiwadi sarvajanik open well",45194,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,211,1
Bamanwadi,Bamanwadi,"Others, location : Anganwadi bamanwadi tap water",45142,32,0,0,0,0.4,7,160,42,42,0.001,0.12,0.9,211,0.02,154,1
Bamanwadi,Bamanwadi,"Others, location : primary school shibewadi",45142,33,0,0,0,0.4,7,299,34,33,0.001,0.12,0.09,211,0.012,154,1
Bamanwadi,Bamanwadi,"Others, location : Prakash Patil hand pump",45142,32,0,0,0,0.4,7,160,34,33,0.001,0.12,0.9,211,0.012,256,1
Bamanwadi,Bamanwadi,"Others, location : Tanker sample",45142,32,0,0,0,0.4,7,299,34,33,0.001,0.12,0.9,211,0.012,154,1
Bamanwadi,Pawarwadi,"Others, location : Tanker sample",45194,26,0,0,0,0.5,7.2,160,34,33,0.001,0.12,0.9,211,0.06,210,1
Banavadi,Banvadi,"Source Type : Open Well, location : BANAVADI 8",45184,34,0,0,0,0.02,7,47,34,33,0.001,0.12,0.9,211,0.06,73,1
Banugadewadi,Banugadewadi,Anganwadi name : Anganwadi-11,45112,30,2,0,0,0.5,7.2,430,88,44,0.8,30.1,3.02,268,0.03,668,1
Banugadewadi,Banugadewadi,School name : z.p.school,45118,30,2,0,0,0.5,7.2,428,86,76,0.7,29.6,3,270,0.04,670,1
Banugadewadi,Banugadewadi,Individual house tap water SANJAY SANKPAL HOUSE,45118,30,3,0,0,0.5,7.2,428,86,76,0.7,29.6,3,270,0.04,670,1
Banugadewadi,Banugadewadi,Individual house tap water BABAN JADHAV HOUSE,45118,30,3,0,0,0.5,7.19,430,88,44,0.65,30.17,3.11,268,0.05,670,1
Banugadewadi,Banugadewadi,"Source Type : Open Well, location : NORTH SIDE OF VILLAGE",45112,30,2,0,0,0.5,7.2,428,86,76,0.7,29.6,3,270,0.04,670,1
Belavade Bk,Belawade Bk,Public tap water location : -----,45281,,0,,,,,,,,,,,,,,0
Belavade Bk,Belawade Bk,Public tap water location : -----,45278,,0,,,,,,,,,,,,,,0
Belavade Bk,Belawade Bk,Public tap water location : -----,45281,,0,,,,,,,,,,,,,,0
Belavade Bk,Belawade Bk,Public tap water location : -----,45281,,0,,,,,,,,,,,,,,0
Belavade Bk,Belawade Bk,Public tap water location : -----,45281,,0,,,,,,,,,,,,,,0
Belavade Bk,Belawade Bk,"Source Type : Open Well, location : BELAVADE BK 18",45085,33,2,0,0,0.6,7.3,468,100,116,0.06,20.81,3.3,92,0.15,734,1
Belavade Bk,Belawade Bk,"PrivateHand Pump, location : near magas vasti",45195,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,211,1
Belavade Bk,Belawade Bk,", location : Location : Near Yashwant Mulik house [ Source type : Deep Tubewell ] [ schemeId : 6313158, scheme name : Near Yashwant Mulik house, Type : Handpump ]",45085,33,2,0,0,0.6,7.5,519,40,40,0.16,50,7.5,304,0.09,810,1
Belavade Bk,Belawade Bk,"Source Type : Open Well, location : BELAVADE BK 18",45085,33,2,0,0,0.6,7.5,762,44,44,0.07,61.5,3,344,0.15,1190,1
Beldare,Beldare,"Source Type : Open Well, location : in habitaiton",45079,34,0,0,0,0.5,7.3,299,64,40,0.24,28.24,0.92,188,0.07,398,1
Beldare,Beldare,"Source Type : Open Well, location : NEAR GAOTHAN",45196,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,186,0.06,256,1
Beldare,Beldare,School name : NEW ENGLISH SCHOOL SAKURDI BELDARE PHATA,45196,26,0,0,0,0.5,7.3,160,34,33,0.11,0.12,0.9,211,0.06,256,1
Beldare,Beldare,School name : z.p.school,45079,34,2,0,0,0.18,7.39,301,64,40,0.24,28.24,0.9,188,0.07,400,1
Beldare,Beldare,Anganwadi name : anganwadi,45079,34,2,0,0,0.48,7.31,304,60,40,0.36,15.43,0.7,240,0.06,402,1
Beldare,Beldare,Individual house tap water Rajendra Mane,45079,34,2,0,0,0.4,7.3,299,64,40,0.24,28.24,0.92,188,0.07,398,1
Beldare,Beldare,Individual house tap water Shashikant Khegade,45079,34,2,0,0,0.4,7.3,310,72,44,0.3,26.9,1.01,192,0.07,420,1
Belvade Haveli,Belvade-haveli,Individual house tap water Sourabh late house tap water,45121,30,2,0,0,0.5,7.2,340,50,62,0.4,17.6,1.3,214,0.06,456,1
Belvade Haveli,Belvade-haveli,Individual house tap water Bhimrao Bandu Thorat,45121,30,3,0,0,0.5,7.3,338,58,50,0.3,16.1,1,218,0.08,448,1
Belvade Haveli,Belvade-haveli,School name : z.p.school,45112,30,3,0,0,0.5,7.2,236,46,22,0.26,9.4,1.16,158,0.02,312,1
Belvade Haveli,Belvade-haveli,"Source Type : Open Well, location : WEST SIDE OF VILLAGE",45112,30,3,0,0,0.5,7.2,340,50,62,0.4,17.6,1.3,214,0.06,456,1
Belvade Haveli,Belvade-haveli,", location : Location : Laman vasti near vidyalaya [ Source type : Deep Tubewell ] [ schemeId : 6313165, scheme name : Laman vasti near vidyalaya, Type : Handpump ]",45112,30,3,0,0,0.5,7.3,338,58,50,0.3,,1,218,0.08,448,1
Belvade Haveli,Belvade-haveli,", location : Location : Laman vasti [ Source type : Deep Tubewell ] [ schemeId : 6313166, scheme name : Laman vasti, Type : Handpump ]",45112,30,3,0,0,0.5,7.1,338,52,48,0.5,,2.6,200,0.09,450,1
Belvade Haveli,Belvade-haveli,Anganwadi name : anganwadi 12,45112,30,3,0,0,0.5,7.2,340,50,62,0.4,17.6,1.3,214,0.06,456,1
Belwadi,Belwadi,"Source Type : Open Well, location : NEAR GAOTHAN",45112,30,2,0,0,0.2,7.1,462,98,42,0.5,27.12,1.6,290,0.1,716,1
Belwadi,Belwadi,Anganwadi name : anganwadi,45118,30,3,0,0,0.2,7.2,460,100,44,0.6,28,1.58,288,0.09,718,1
Belwadi,Belwadi,Individual house tap water RAMCHANDRA NALAWADE HOUSE,45118,30,2,0,0,0.2,7.1,462,98,42,0.5,27.12,1.6,290,0.1,716,1
Belwadi,Belwadi,Individual house tap water GANESH PAWAR HOUSE,45118,30,3,0,0,0.2,7.2,460,100,44,0.6,28,1.58,288,0.09,,1
Belwadi,Belwadi,School name : BELWADI,45118,30,2,0,0,0.2,7.1,462,98,42,0.5,27.12,1.6,290,0.1,716,1
Bhambe,Bhambe,Public tap water location : -----,45092,34,2,0,0,0.2,7.1,110,36,24,0.13,11.6,0.69,36,0.11,176,1
Bhambe,Bhambe,"PrivateTube well / Bore well / Well, location : gav vihir",45085,33,2,0,0,0.5,7.3,420,44,40,0.11,32.7,2.2,304,0.1,656,1
Bhambe,Bhambe,Anganwadi name : anganwadi -16,45085,33,2,0,0,0.5,7.3,401,64,40,0.51,7.76,0.8,220,0.1,401,1
Bhambe,Bhambe,School name : zp school,45085,33,2,0,0,0.5,7.3,472,100,56,0.33,36.12,2.17,212,0.14,631,1
Bhambe,Bhambe,Public tap water location : -----,45195,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,368,1
Bharewadi,Bharewadi,Individual house tap water HANAMANT KALUGADE,45138,26,2,0,0,0.6,7.2,648,166,70,0.16,39.8,4.6,322,0.09,860,1
Bharewadi,Bharewadi,Individual house tap water BABAN SHELATE,45138,26,2,0,0,0.6,7.2,648,166,70,0.16,39.8,4.6,322,0.09,860,1
Bharewadi,Bharewadi,"Source Type : Open Well, location : IN GAOTHAN",45097,33,2,0,0,0.6,7.2,648,166,70,0.16,39.8,4.6,322,0.09,860,1
Bharewadi,Bharewadi,"Others, location : GRAVITY PUBLIC TAB WATER SUPPLY",45097,33,3,0,0,0.6,7.2,266,42,22,0.12,2.1,2.9,186,0.08,352,1
Bhavanwadi,Bhavanwadi,School name : z.p.school,45112,30,3,0,0,0.5,7.2,444,66,48,0.2,31.6,1.8,298,0.06,584,1
Bhavanwadi,Bhavanwadi,"Source Type : Open Well, location : in habitaiton",45112,30,2,0,0,0.5,7.2,340,52,60,0.36,17.8,1.2,216,0.08,452,1
Bhavanwadi,Bhavanwadi,Individual house tap water Vinod Yadav Tap water,45112,30,2,0,0,0.5,7.26,388,118,80,0.2,10.1,1,158,0.08,600,1
Bhavanwadi,Bhavanwadi,Individual house tap water Dipak Bhosale tap water,45112,30,2,0,0,0.5,7.2,444,66,48,0.2,31.6,1.8,298,0.06,584,1
Bholewadi,Bholewadi,Individual house tap water vikram prlahd surywanshi,45079,34,2,0,0,0.5,7.1,261,88,20,0.44,13.63,1.03,104,0.06,349,1
Bholewadi,Bholewadi,Individual house tap water arjun anada surywnshi,45079,34,2,0,0,0.5,7.1,220,44,20,0.19,12.84,0.57,128,0.1,296,1
Bholewadi,Bholewadi,School name : z.p.school,45079,34,2,0,0,0.6,7.69,1328,156,164,0.16,14.29,14.76,556,0.36,1764,1
Bholewadi,Bholewadi,", location : Location : NEAR NALLA [ Source type : Open Well ] [ schemeId : 6312946, scheme name : NEAR NALLA, Type : Handpump ]",45079,34,0,0,0,0.5,7.3,300,80,40,0.45,26.07,0.82,220,0.06,400,1
Bholewadi,Bholewadi,"Source Type : Open Well, location : NEAR GAOTHAN",45196,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,211,1
Bholewadi,Bholewadi,"Source Type : Open Well, location : NEAR GAOTHAN",45079,34,2,0,0,0.5,7.2,220,40,52,0.12,22.75,2.3,164,0.1,342,1
Bhosalewadi,Bhosalewadi,"Source Type : Deep Tubewell, location : GAOTHAN",45112,30,2,0,0,0.5,7.3,358,80,56,0.1,19.26,2.85,180,0.05,472,1
Bhosalewadi,Bhosalewadi,"Source Type : Open Well, location : GAOTHAN 1",45092,34,2,,0,0.5,,104,36,20,0.09,,0.55,40,0.04,164,1
Bhosalewadi,Bhosalewadi,Anganwadi name : Anganwadi 18,45092,34,2,,0,0.5,,229,36,36,0.15,,0.87,64,0.09,303,1
Bhosalewadi,Bhosalewadi,", location : Location : Grampanchayat [ Source type : Deep Tubewell ] [ schemeId : 6312947, scheme name : Grampanchayat, Type : Handpump ]",45092,34,2,,0,0.5,,540,104,80,0.07,,0.61,164,0.42,718,1
Bhurbhushi,Bhurbhushi,Individual house tap water SAKHARAM TUKARAM DEUNGALE,45138,26,2,0,0,0.4,7.1,262,58,14,0.2,1.6,2.6,134,0.06,346,1
Bhurbhushi,Bhurbhushi,Individual house tap water LAXMAN NAMDEV SHEWALE,45138,26,2,0,0,0.4,7.1,262,58,14,0.2,1.6,2.6,134,0.06,346,1
Bhurbhushi,Bhurbhushi,"Source Type : Open Well, location : KALAMBADEVI",45097,33,3,0,0,0.4,7.1,262,58,14,0.2,1.6,2.6,134,0.06,346,1
Bhurbhushi,Bhurbhushi,"Others, location : KALAMBA MANDIR",45097,33,3,0,0,0.4,7.2,252,62,16,0.16,20.6,2.1,142,0.04,332,1
Bhurbhushi,Bhurbhushi,School name : z.p.school,45097,33,2,0,0,0.6,7.2,266,42,22,0.12,2.1,2.9,186,0.08,352,1
Bhuyachiwadi,Bhuyachiwadi,"Source Type : Open Well, location : NEAR GAONTHAN",45085,25,2,0,0,0.5,7.3,337,100,40,0.02,1.13,0.92,132,0.07,448,1
Bhuyachiwadi,Bhuyachiwadi,", location : Location : near Maruti Mandir old gaothan [ Source type : Deep Tubewell ] [ schemeId : 6313006, scheme name : near Maruti Mandir old gaothan, Type : Handpump ]",45085,25,2,0,0,0.5,7.3,821,72,92,0.06,37.74,0.94,324,0.07,1088,1
Bhuyachiwadi,Bhuyachiwadi,"Source Type : Open Well, location : NEAR GAONTHAN",45085,25,2,0,0,0.5,7.3,393,104,76,0.07,26.47,0.67,124,0.03,522,1
Bhuyachiwadi,Bhuyachiwadi,"Source Type : Deep Tubewell, location : NEW GAOTHAN",45085,25,2,0,0,0.5,7.3,421,68,92,0.02,0.28,0.82,96,0.06,558,1
Bhuyachiwadi,Bhuyachiwadi,"Source Type : Open Well, location : NEAR GAOTHAN",45085,25,2,0,0,0.5,7.4,803,132,156,0.04,45,0.96,444,0.06,1066,1
Bhuyachiwadi,Bhuyachiwadi,"Others, location : anganwadi",45085,25,2,0,0,0.5,7.4,630,134,154,0.1,47,3,278,0.1,984,1
Bhuyachiwadi,Bhuyachiwadi,"Others, location : anganwadi",45085,25,2,0,0,0.5,7.3,356,82,82,0.1,29,2,126,0.11,556,1
Chachegaon,Chachegaon,School name : z.p.school,45146,25,2,0,0,0.4,7.18,352,84,48,0.5,38.16,0.53,208,0.1,550,1
Chachegaon,Chachegaon,School name : zp school,45146,25,2,0,0,0.4,7.28,386,84,32,0.25,11.95,2.84,168,0.19,603,1
Chachegaon,Chachegaon,Anganwadi name : anganwadi 31,45146,25,2,0,0,0.4,7.18,224,60,16,0.26,37.84,0.41,104,0.13,351,1
Chachegaon,Chachegaon,Anganwadi name : anganwadi 29,45146,25,2,0,0,0.4,7.33,366,124,36,0.4,38.48,0.92,188,0.07,574,1
Chachegaon,Chachegaon,Anganwadi name : ANGANWADI 30,45146,25,2,0,0,0.4,7.18,352,84,48,0.5,38.16,0.53,208,0.1,550,1
Chachegaon,Chachegaon,Anganwadi name : anganwadi 32,45146,25,3,0,0,0.4,7.28,386,84,32,0.25,11.95,2.84,168,0.19,603,1
Chachegaon,Chachegaon,Individual house tap water Mahesh Pawar House,45146,25,2,0,0,0.4,7.18,224,60,16,0.26,37.84,0.41,104,0.13,351,1
Chachegaon,Chachegaon,Individual house tap water Rahul Pawar House,45146,25,2,0,0,0.4,7.33,366,124,36,0.4,38.48,0.92,188,0.07,574,1
Chachegaon,Chachegaon,"Source Type : Infiltration well, location : Koyana River",45101,26,0,0,0,0.4,7.41,261,44,20,0.16,6.84,1.07,180,0.2,407,1
Chachegaon,Chachegaon,"Source Type : Open Well, location : CHACHEGAON 30",45101,26,0,0,0,0.4,7.18,224,60,16,0.26,37.84,0.41,104,0.13,351,1
Chachegaon,Chachegaon,"Source Type : Open Well, location : in habitaiton",45101,26,0,0,0,0.4,7.18,352,84,48,0.5,38.16,0.53,208,0.1,550,1
Chachegaon,Chachegaon,"Source Type : Open Well, location : ON THE BANK OF NALLA",45101,26,0,0,0,0.4,7.18,224,60,16,0.26,37.84,0.41,104,0.13,351,1
Chachegaon,Chachegaon,", location : Location : old Gaothan [ Source type : Deep Tubewell ] [ schemeId : 6313009, scheme name : old Gaothan, Type : Handpump ]",45098,34,2,0,0,0.6,7.2,380,48,60,0.06,20.5,1.16,240,0.08,600,1
Chachegaon,Chachegaon,", location : Location : Pry.school [ Source type : Deep Tubewell ] [ schemeId : 6313010, scheme name : Pry.school, Type : Handpump ]",45195,26,0,0,0,0.5,7.3,160,34,33,0.001,0.26,0.9,198,0.06,210,1
Charegaon,Charegaon,"Source Type : Open Well, location : IN HABITATION",45036,,,,,,,,0,,,,,,,,0
Charegaon,Charegaon,"Source Type : Open Well, location : IN HABITATION",45089,33,3,0,0,0.5,7.3,562,98,42,0.2,45,1.3,390,0.06,748,1
Charegaon,Charegaon,"Source Type : Deep Tubewell, location : SURYAWANSHI WASTI DUAL PUMP ON SOLAR ENERGY",45089,33,2,0,0,0.5,7.3,366,98,42,0.4,1,2,178,0.06,486,1
Charegaon,Charegaon,"PrivateTube well / Bore well / Well, location : shankar suryvanshi",45089,33,3,0,0,0.5,7.3,562,98,42,0.2,45,1.3,390,0.06,748,1
Charegaon,Charegaon,"PrivateHand Pump, location : Gunabaeecha wada",45089,33,3,0,0,0.5,7.2,730,178,64,0.4,34.7,2.1,378,0.09,968,1
Charegaon,Charegaon,"PrivateTube well / Bore well / Well, location : balavant chavhan",45089,33,2,0,0,0.5,7.3,524,138,46,0.3,46.1,2.5,310,0.08,694,1
Charegaon,Charegaon,"PrivateTube well / Bore well / Well, location : zp school",45089,33,2,0,0,0.5,7.3,562,98,42,0.2,45,1.3,390,0.06,748,1
Charegaon,Charegaon,", location : Location : Charegaon-surywanshi vasti solar dual pump [ Source type : Deep Tubewell ] [ schemeId : 5585177, scheme name : Charegaon-surywanshi vasti solar dual pump, Type : Handpump ]",45089,33,3,0,0,0.5,7.3,366,98,42,0.4,1,2,178,0.06,486,1
